item_id,name,level,ilvl,slot,jobs,score_class,score,retail_source,relaunch_source,invasion_pool,obtainable
10240,Hexed Haubert,99,0,Body,WAR/PLD/DRK/BST/DRG,,,Craft,,yes,yes
10241,Hexed Domaru,99,0,Body,MNK/SAM/NIN/PUP,,,Craft,,yes,yes
10242,Hexed Jacket,99,0,Body,MNK/THF/RNG/NIN/BLU/COR/DNC/RUN,,,Craft,,yes,yes
10243,Hexed Doublet,99,0,Body,BLM/RDM/SMN/BLU/SCH/GEO,,,Craft,,yes,yes
10244,Hexed Bliaut,99,0,Body,WHM/RDM/BRD/SCH,,,Craft,,yes,yes
10245,Hexed Haubert -1,99,0,Body,WAR/PLD/DRK/BST/DRG,,,Craft,,yes,yes
10246,Hexed Domaru -1,99,0,Body,MNK/SAM/NIN/PUP,,,Craft,,yes,yes
10247,Hexed Jacket -1,99,0,Body,MNK/THF/RNG/NIN/BLU/COR/DNC/RUN,,,Craft,,yes,yes
10248,Hexed Doublet -1,99,0,Body,BLM/RDM/SMN/BLU/SCH/GEO,,,Craft,,yes,yes
10249,Hexed Bliaut -1,99,0,Body,WHM/RDM/BRD/SCH,,,Craft,,yes,yes
10250,Moogle Suit,1,0,Body,All Jobs,TANK,1,,Cosmetic Boutique,yes,yes
10251,Decennial Coat,1,0,Body,All Jobs,TANK,1,,Cosmetic Boutique,yes,yes
10252,Decennial Dress,1,0,Body,All Jobs,TANK,1,,Cosmetic Boutique,yes,yes
10253,Decennial Coat +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10254,Decennial Dress +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10255,Matanca Harness,99,0,Body,MNK/SAM/NIN/PUP,TANK,131,,,yes,yes
10256,Marine Gilet,1,0,Body,All Jobs,TANK,1,,,yes,yes
10257,Marine Top,1,0,Body,All Jobs,TANK,1,,,yes,yes
10258,Woodsy Gilet,1,0,Body,All Jobs,TANK,1,,,yes,yes
10259,Woodsy Top,1,0,Body,All Jobs,TANK,1,,,yes,yes
10260,Creek Maillot,1,0,Body,All Jobs,TANK,1,,,yes,yes
10261,Creek Top,1,0,Body,All Jobs,TANK,1,,,yes,yes
10262,River Top,1,0,Body,All Jobs,TANK,1,,,yes,yes
10263,Dune Gilet,1,0,Body,All Jobs,TANK,1,,,yes,yes
10264,Marine Gilet +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10265,Marine Top +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10266,Woodsy Gilet +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10267,Woodsy Top +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10268,Creek Maillot +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10269,Creek Top +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10270,River Top +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10271,Dune Gilet +1,1,0,Body,All Jobs,TANK,2,,,yes,yes
10272,Dux Scale Mail,99,0,Body,WAR/RDM/PLD/DRK/BST/RNG/SAM/DRG/BLU/RUN,TANK,144,Craft,,yes,yes
10273,Dux Scale Mail +1,99,0,Body,WAR/RDM/PLD/DRK/BST/RNG/SAM/DRG/BLU/RUN,TANK,160,Craft,,yes,yes
10274,Chelona Blazer,99,0,Body,WHM/BLM/RDM/BRD/SMN/BLU/PUP/SCH/GEO/RUN,HEAL,40,Craft,,yes,yes
10275,Chelona Blazer +1,99,0,Body,WHM/BLM/RDM/BRD/SMN/BLU/PUP/SCH/GEO/RUN,HEAL,45,Craft,,yes,yes
10276,Enif Corazza,99,0,Body,THF/PLD/DRK/DRG/BLU,TANK,98,,,yes,yes
10277,Adhara Manteel,99,0,Body,WHM/BLM/RDM/SMN/BLU,DPS,15,,,yes,yes
10278,Murzim Corazza,99,0,Body,THF/PLD/DRK/RNG/DRG/COR/PUP/DNC,TANK,102,,,yes,yes
10279,Shedir Manteel,99,0,Body,WHM/BLM/RDM/BRD/SMN/BLU/SCH/GEO,DPS,50,,,yes,yes
10280,Laeradr Breastplate,99,0,Body,WAR/PLD/DRK,TANK,223,,,yes,yes
10281,Manasa Chasuble,99,0,Body,WHM/BLM/RDM/BRD/SMN/BLU/PUP/SCH/GEO/RUN,HEAL,102,,,yes,yes
10282,Krabat Jacket,99,0,Body,BLM/SCH/GEO,CASTER,42,,,yes,yes
10283,Vara Brigandine Armor,99,0,Body,WAR/RDM/THF/PLD/DRK/BST/BRD/RNG/SAM/NIN/DRG/BLU/COR/DNC/RUN,DPS,106,,,yes,yes
10284,Grandoynes Mail,99,0,Body,WAR/PLD/DRK/BST/SAM/DRG,DPS,109,,,yes,yes
10285,Beguilers Jerkin,99,0,Body,MNK/THF/RNG/NIN/BLU/COR/PUP/DNC/RUN,DPS,71,,,yes,yes
10286,Seidr Cotehardie,99,0,Body,WHM/BLM/RDM/BRD/SMN/SCH/GEO,CASTER,47,,,yes,yes
10287,Feverish Korazin,99,0,Body,WAR/PLD/DRK/SAM/DRG,TANK,136,,,yes,yes
10288,Baalmuian Robe,99,0,Body,WHM/BLM/RDM/SMN/SCH/GEO,HEAL,88,,,yes,yes
10289,Sublime Breastplate,99,0,Body,WHM,HEAL,33,,,yes,yes
10290,Laudan Cuirass,99,0,Body,WAR/PLD/DRK/BST/SAM/DRG,DPS,107,,,yes,yes
10291,Febro Kaftan,99,0,Body,MNK/THF/RNG/NIN/BLU/COR/DNC/RUN,DPS,92,,,yes,yes
10292,Wikyo Cloak,99,0,Body,WHM/BLM/RDM/BRD/SMN/PUP/SCH/GEO,CASTER,45,,,yes,yes
10293,Chocobo Shirt,1,0,Body,All Jobs,CASTER,50,,,yes,yes
10295,Kokous Earring,99,0,Ear,WAR/PLD/DRK/BST/DRG,DPS,20,,,yes,yes
