itemname,itemid,charname,charid,quantity,reason,sources
Abyss Sollerets,15139,Duffaluffagus,13,1,no_source,
Aisance Mantle,10966,Garvtest,21,1,no_source,
Aisance Mantle +1,10967,Enko,15,1,no_source,
Archer's Ring,13514,Garvtest,21,1,no_source,
Argute Pants,16362,Duffaluffagus,13,1,no_source,
Ashigaru Mantle,13670,Burtgang,11,1,no_source,
Ashigaru Targe,12400,Burtgang,11,1,no_source,
Assassin's Vest,15092,Duffaluffagus,13,1,no_source,
Attila's Earring,14762,Garvtest,21,1,no_source,
Aurore Beret,11504,Thanos,20,1,no_source,
Aurore Gloves,12746,Thanos,20,1,no_source,
Auster's Earring,11689,Burtgang,11,1,no_source,
Auster's Pearl,11024,Burtgang,11,1,no_source,
Aya. Cosciales +1,25870,Souls,12,1,all_gated,sys:Ambuscade
Aya. Gambieras,25935,Souls,12,1,all_gated,sys:Ambuscade
Aya. Manopolas +1,25811,Souls,12,1,all_gated,sys:Ambuscade
Bard's Cuffs,15111,Duffaluffagus,13,1,no_source,
Bastokan Ring,13497,Burtgang,11,1,no_source,
Bastokan Ring,13497,Corvinos,14,1,no_source,
Bastokan Ring,13497,Midnightarsal,32,1,no_source,
Bastokan Ring,13497,Nut,16,1,no_source,
Beater's Aspis,12399,Burtgang,11,1,no_source,
Beir Belt +1,11764,Garvtest,21,1,no_source,
Beir Belt +1,11764,Thanos,20,1,no_source,
Bihu Cannions,27170,Nut,16,1,all_gated,sys:Reforge
Bihu Cuffs,26994,Nut,16,1,all_gated,sys:Reforge
Bihu Justaucorps,26818,Nut,16,1,all_gated,sys:Reforge
Bihu Roundlet,26642,Nut,16,1,all_gated,sys:Reforge
Bihu Slippers,27346,Nut,16,1,all_gated,sys:Reforge
Brioso Cannions,28099,Nut,16,1,all_gated,sys:Reforge
Brioso Cuffs,27952,Nut,16,1,all_gated,sys:Reforge
Brioso Just.,27816,Nut,16,1,all_gated,sys:Reforge
Brioso Roundlet,27672,Nut,16,1,all_gated,sys:Reforge
Brioso Slippers,28232,Nut,16,1,all_gated,sys:Reforge
Brown Belt,13202,Ropraz,18,1,no_source,
Brown Belt,13202,Thanos,20,1,no_source,
Cache-nez,15180,Burtgang,11,1,no_source,
Caliber Ring,26164,Duffaluffagus,13,1,no_source,
Calmecac Trousers,11958,Thanos,20,1,no_source,
Claymore Grip,19027,Spyro,19,1,no_source,
Cobra Tunica,14586,Burtgang,11,1,no_source,
Comm. Bottes,11385,Duffaluffagus,13,1,no_source,
Cornelia's Ring,26227,Burtgang,11,1,no_source,
