itemname,itemid,charname,charid,locked_sources
2-hand. Sword +1,16931,Oopsiepoopsie,27,Crafting[gate not met]
A Loutrance,18041,Oopsiepoopsie,27,Nyzul Isle[gate not met] | drop:Hellion(Labyrinth of Onzozo)[gate not met]
Aakab Scythe,20922,Oopsiepoopsie,27,Crafting[gate not met]
Aakab Scythe +1,20923,Oopsiepoopsie,27,Crafting[gate not met]
Aalak Axe,20831,Oopsiepoopsie,27,Crafting[gate not met]
Aalak Axe +1,20832,Oopsiepoopsie,27,Crafting[gate not met]
Ababinili,21164,Oopsiepoopsie,27,Unity Wanted NM[gate not met] | drop:Arke(Escha ZiTah)[gate not met]
Ababinili +1,21165,Oopsiepoopsie,27,Unity upgrade[gate not met]
Abnoba Kaftan,25704,Oopsiepoopsie,27,Geas Fete[gate not met]
Abtal Boots,15693,Oopsiepoopsie,27,Crafting[gate not met]
Abtal Dastanas,14938,Oopsiepoopsie,27,Crafting[gate not met]
Abtal Jawshan,14528,Oopsiepoopsie,27,Crafting[gate not met]
Abtal Turban,16067,Oopsiepoopsie,27,Crafting[gate not met]
Abtal Zerehs,15607,Oopsiepoopsie,27,Crafting[gate not met]
Abyss Scythe,21823,Oopsiepoopsie,27,Crafting[gate not met]
Abyssal Beads,25459,Oopsiepoopsie,27,Crafting[gate not met]
Abyssal Beads +1,25460,Oopsiepoopsie,27,Crafting[gate not met]
Abyssal Beads +2,25461,Oopsiepoopsie,27,Crafting[gate not met]
Abyssal Earring,14741,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acad. Bracers,27963,Bent,29,Reforge[gate not met]
Acad. Bracers,27963,Corvinos,14,Reforge[gate not met]
Acad. Bracers,27963,Eir,6,Reforge[gate not met]
Acad. Bracers,27963,Enko,15,Reforge[gate not met]
Acad. Bracers,27963,Garvtest,21,Reforge[gate not met]
Acad. Bracers,27963,Herdofturtles,22,Reforge[gate not met]
Acad. Bracers,27963,Lantyisstuck,26,Reforge[gate not met]
Acad. Bracers,27963,Midnightarsal,32,Reforge[gate not met]
Acad. Bracers,27963,Molly,5,Reforge[gate not met]
Acad. Bracers,27963,Nut,16,Reforge[gate not met]
Acad. Bracers,27963,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Bracers,27963,Rirint,4,Reforge[gate not met]
Acad. Bracers,27963,Ririntwo,9,Reforge[gate not met]
Acad. Bracers,27963,Spaz,17,Reforge[gate not met]
Acad. Bracers,27963,Testa,7,Reforge[gate not met]
Acad. Bracers +1,27984,Bent,29,Reforge[gate not met]
Acad. Bracers +1,27984,Corvinos,14,Reforge[gate not met]
Acad. Bracers +1,27984,Eir,6,Reforge[gate not met]
Acad. Bracers +1,27984,Enko,15,Reforge[gate not met]
Acad. Bracers +1,27984,Garvtest,21,Reforge[gate not met]
Acad. Bracers +1,27984,Herdofturtles,22,Reforge[gate not met]
Acad. Bracers +1,27984,Lantyisstuck,26,Reforge[gate not met]
Acad. Bracers +1,27984,Midnightarsal,32,Reforge[gate not met]
Acad. Bracers +1,27984,Molly,5,Reforge[gate not met]
Acad. Bracers +1,27984,Nut,16,Reforge[gate not met]
Acad. Bracers +1,27984,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Bracers +1,27984,Rirint,4,Reforge[gate not met]
Acad. Bracers +1,27984,Ririntwo,9,Reforge[gate not met]
Acad. Bracers +1,27984,Spaz,17,Reforge[gate not met]
