"rank","band","power_tier","trust_name","spell_id","unlock_method","item_id","nm_label","content_pool","drop_pct","notes"
"1","D1","C","Cherukiki","916","direct_spell_grant","","Bloodguzzler","Abyssea Marks T1","15","No cipher item"
"1","D1","C","Naji","897","direct_spell_grant","","Arimaspi","Abyssea Marks T1","15","No cipher item"
"1","D1","C","Mnejing","926","cipher_drop","10122","Wepwawet","Geas Fete T1","15",""
"1","D1","C","Ovjang","925","cipher_drop","10121","Warder of Justice","Geas Fete T1","15",""
"1","D1","C","Sakura","927","cipher_drop","10123","Tangata Manu","Geas Fete T1","15",""
"1","D1","C","Semih Lafihna","940","cipher_drop","10157","Warder of Faith","Geas Fete T1","15",""
"1","D1","C","Lehko Habhoka","922","cipher_drop","10120","Tom Tit Tat","Hunting League Rank I","15",""
"1","D1","C","Mihli Aliapoh","909","cipher_drop","10115","Valkurm Emperor","Hunting League Rank I","15",""
"1","D1","C","Naja Salaheem","912","cipher_drop","10118","Leaping Lizzy","Hunting League Rank I","15",""
"1","D1","C","Adelheid","968","cipher_drop","10153","Aello","Reforge Abyssea [I]","15",""
"1","D1","C","Moogle","931","cipher_drop","10127","Genbu","Reforge Sky [I]","15",""
"1","D1","C","Ferreous Coffin","944","cipher_drop","10133","Bukhis","Reforge Unity [I]","15",""
"1","D1","C","Abenzio","959","cipher_drop","10144","Prickly Pitriv","Unity Wanted T1","15",""
"1","D1","C","Ajido-Marujido","904","direct_spell_grant","","Immanibugard","Unity Wanted T1","15","No cipher item"
"1","D1","C","Areuhat","939","cipher_drop","10149","Emperor Arthro","Unity Wanted T1","15",""
"1","D1","C","Ayame","900","direct_spell_grant","","Jester Malatrix","Unity Wanted T1","15","No cipher item"
"1","D1","C","Babban","958","cipher_drop","10143","Hugemaw Harold","Unity Wanted T1","15",""
"1","D1","C","Elivira","941","cipher_drop","10130","Abyssdiver","Unity Wanted T1","15",""
"1","D1","C","Halver","972","cipher_drop","10158","Keeper of Heiligtum","Unity Wanted T1","15",""
"1","D1","C","Karaha-Baruha","936","cipher_drop","10142","Woodland Mender","Unity Wanted T1","15",""
"1","D1","C","Kukki-Chebukki","961","cipher_drop","10146","Joyous Green","Unity Wanted T1","15",""
"1","D1","C","Lhu Mhakaracca","943","cipher_drop","10132","Warblade Beak","Unity Wanted T1","15",""
"1","D1","C","Margret","962","cipher_drop","10147","Intuila","Unity Wanted T1","15",""
"1","D1","C","Mayakov","966","cipher_drop","10151","Cactrot Veloz","Unity Wanted T1","15",""
"1","D1","C","Romaa Mihgo","949","direct_spell_grant","","Ironhorn Baldurno","Unity Wanted T1","15","No cipher item"
"1","D1","C","Zazarg","924","direct_spell_grant","","Tiyanak","Unity Wanted T1","15","No cipher item"
"2","D2","B","Arciela","965","direct_spell_grant","","Eccentric Eve","Abyssea Marks T1","13","No cipher item"
"2","D2","B","Excenmille S","1004","direct_spell_grant","","Toppling Tuber","Abyssea Marks T1","13","Variant trust; optional collection row"
"2","D2","B","Najelith","929","cipher_drop","10125","Carabosse","Abyssea Marks T1","13",""
"2","D2","B","Iron Eater","917","direct_spell_grant","","Blazing Eruca","Abyssea Marks T2","13","No cipher item"
"2","D2","B","Klara","948","direct_spell_grant","","Lord Varney","Abyssea Marks T2","13","No cipher item; was Infamy Maat fight"
"2","D2","B","Prishe","913","direct_spell_grant","","Sirrush","Abyssea Marks T2","13","No cipher item"
"2","D2","B","Robel-Akbel","977","cipher_drop","10166","Durinn","Abyssea Marks T2","13","Was Prestige Diabolos trial â€” moved to Abyssea"
"2","D2","B","Volker","903","direct_spell_grant","","Maahes","Abyssea Marks T2","13","No cipher item"
