"item_id","trust_name","spell_id","unlock_method","nm_label","mob_groups_name","content_pool","band","rank","power_tier","drop_pct","notes"
"","Shantotto","896","starter","","","Character creation","","","C","","Free at login â€” only non-NM unlock"
"","Kupipi","898","starter","","","Character creation","","","C","","Free at login â€” only non-NM unlock"
"","Trion","905","starter","","","Character creation","","","C","","Free at login â€” only non-NM unlock"
"","Tenzen","908","starter","","","Character creation","","","B","","Free at login; cipher 10114 must NOT drop"
"","Naji","897","direct_spell_grant","Arimaspi","Arimaspi","Abyssea Marks T1","D1","1","C","15","No cipher item"
"","Ayame","900","direct_spell_grant","Jester Malatrix","Jester_Malatrix","Unity Wanted T1","D1","1","C","15","No cipher item"
"","Meat (Excenmille)","899","void_keeper","","","Void Keeper","","","S","10M","50 trusts collected + 10M gil"
"","Gemma (Nanaa Mihgo)","901","void_keeper","","","Void Keeper","","","S","10M","60 trusts collected + 10M gil"
"","Corvus (Curilla)","902","void_keeper","","","Void Keeper","","","A","10M","40 trusts collected + 10M gil"
"","Volker","903","direct_spell_grant","Maahes","Maahes","Abyssea Marks T2","D2","2","B","13","No cipher item"
"","Ajido-Marujido","904","direct_spell_grant","Immanibugard","Immanibugard","Unity Wanted T1","D1","1","C","15","No cipher item"
"","Zeid","906","direct_spell_grant","Nidhogg","Nidhogg","Hunting League Rank IV","D3","3","A","11","cipher retired - direct learn"
"","Lion","907","direct_spell_grant","Seiryu","Seiryu","Reforge Sky [III]","D3","3","A","11","cipher retired - direct learn"
"","Mihli Aliapoh","909","direct_spell_grant","Valkurm Emperor","Valkurm_Emperor","Hunting League Rank I","D1","1","C","15","cipher retired - direct learn"
"","Valaineral","910","direct_spell_grant","Kirin","Kirin","Reforge Sky [V]","D4","4","A","9","Was Prestige trial — now Reforge Sky; cipher retired - direct learn"
"","Joachim","911","direct_spell_grant","Vrtra","Vrtra","Hunting League Rank III","D2","2","B","13","NOTABLE; cipher retired - direct learn"
"","Naja Salaheem","912","direct_spell_grant","Leaping Lizzy","Leaping_Lizzy","Hunting League Rank I","D1","1","C","15","cipher retired - direct learn"
"","Prishe","913","direct_spell_grant","Sirrush","Sirrush","Abyssea Marks T2","D2","2","B","13","No cipher item"
"","Ulmia","914","direct_spell_grant","Pandemonium Warden","Pandemonium_Warden","Hunting League Rank V","D4","4","S","9","CORE â€” no cipher item"
"","Shikaree Z","915","direct_spell_grant","Largantua","Largantua","Unity Wanted T2","D2","2","B","13","No cipher item"
"","Cherukiki","916","direct_spell_grant","Bloodguzzler","Bloodguzzler","Abyssea Marks T1","D1","1","C","15","No cipher item"
"","Iron Eater","917","direct_spell_grant","Blazing Eruca","Blazing_Eruca","Abyssea Marks T2","D2","2","B","13","No cipher item"
"","Gessho","918","direct_spell_grant","Simurgh","Simurgh","Hunting League Rank III","D2","2","C","13","NOTABLE â€” no cipher item"
"","Gadalar","919","direct_spell_grant","Garbage Gel","Garbage_Gel","Unity Wanted T2","D2","2","B","13","No cipher item"
"","Rainemard","920","direct_spell_grant","King Behemoth","King_Behemoth","Hunting League Rank IV","D3","3","A","11","cipher retired - direct learn"
"","Ingrid","921","direct_spell_grant","Strix","Strix","Unity Wanted T2","D2","2","B","13","No cipher item"
"","Lehko Habhoka","922","direct_spell_grant","Tom Tit Tat","Tom_Tit_Tat","Hunting League Rank I","D1","1","C","15","cipher retired - direct learn"
"","Nashmeira","923","direct_spell_grant","Arke","Arke","Unity Wanted T2","D2","2","B","13","No cipher item"
"","Zazarg","924","direct_spell_grant","Tiyanak","Tiyanak","Unity Wanted T1","D1","1","C","15","No cipher item"
"","Ovjang","925","direct_spell_grant","Warder of Justice","Warder_of_Justice","Geas Fete T1","D1","1","C","15","cipher retired - direct learn"
"","Mnejing","926","direct_spell_grant","Wepwawet","Wepwawet","Geas Fete T1","D1","1","C","15","cipher retired - direct learn"
"","Sakura","927","direct_spell_grant","Tangata Manu","Tangata_Manu","Geas Fete T1","D1","1","C","15","cipher retired - direct learn"
"","Luzaf","928","direct_spell_grant","Seiryu-Escha","Seiryu-Escha","Geas Ru'Aun T3","D3","3","A","11","cipher retired - direct learn"
"","Najelith","929","direct_spell_grant","Carabosse","Carabosse","Abyssea Marks T1","D2","2","B","13","cipher retired - direct learn"
"10126","Aldo (Locke)","930","disabled","","","Retired","","","A","0","Temporarily removed from live roster / drops (2026-08-02)"
"","Moogle","931","direct_spell_grant","Genbu","Genbu","Reforge Sky [I]","D1","1","C","15","cipher retired - direct learn"
"","Fablinix","932","direct_spell_grant","Suzaku","Suzaku","Reforge Sky [II]","D2","2","B","13","cipher retired - direct learn"
"","Maat","933","direct_spell_grant","Sovereign Behemoth","Sovereign_Behemoth","Unity Wanted T2","D2","2","B","13","No cipher item"
"","D. Shantotto","934","direct_spell_grant","Kamohoalii","Kamohoalii","Geas Fete T2","D2","2","B","13","cipher retired - direct learn"
"","Star Sibyl","935","direct_spell_grant","Serket","Serket","The Gauntlet L2","D2","2","B","13","cipher retired - direct learn"
"","Karaha-Baruha","936","direct_spell_grant","Woodland Mender","Woodland_Mender","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Cid","937","direct_spell_grant","Byakko","Byakko","Reforge Sky [IV]","D3","3","A","11","cipher retired - direct learn"
"","Gilgamesh","938","direct_spell_grant","Genbu-Escha","Genbu-Escha","Geas Ru'Aun T3","D3","3","A","11","cipher retired - direct learn"
"","Areuhat","939","direct_spell_grant","Emperor Arthro","Emperor_Arthro","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
