"Trust","Which NM","Drop rate","Content"
"AA EV","Ark Angel EV","11%","Geas Fete T3"
"AA GK","Ark Angel GK","11%","Geas Fete T3"
"AA HM","Ark Angel HM","11%","Geas Fete T3"
"AA MR","Ark Angel MR","11%","Geas Fete T3"
"AA TT","Ark Angel TT","11%","Geas Fete T3"
"Abenzio","Prickly Pitriv","15%","Unity Wanted T1"
"Abquhbah","Teles","9%","Geas Fete T4"
"Adelheid","Aello","15%","Reforge Abyssea [I]"
"Ajido-Marujido","Immanibugard","15%","Unity Wanted T1"
"Amchuchu","Apademak","11%","Abyssea Marks T3"
"Apururu UC","Chloris","9%","Abyssea Marks T1"
"Arciela","Eccentric Eve","13%","Abyssea Marks T1"
"Arciela II","Itzpapalotl","11%","Abyssea Marks T2"
"Areuhat","Emperor Arthro","15%","Unity Wanted T1"
"August","Alfard","11%","Abyssea Marks T3"
"Ayame","Jester Malatrix","15%","Unity Wanted T1"
"Ayame UC","Wyvernhunter Bambrox","11%","Unity Wanted T3"
"Babban","Hugemaw Harold","15%","Unity Wanted T1"
"Balamor","Pazuzu","11%","Geas Fete T3"
"Brygid","Bomb Queen","13%","Hunting League Rank II"
"Chacharoon","Azdaja","9%","Abyssea Marks T3"
"Cherukiki","Bloodguzzler","15%","Abyssea Marks T1"
"Cid","Byakko","11%","Reforge Sky [IV]"
"D. Shantotto","Kamohoalii","13%","Geas Fete T2"
"Darrcuiln","Azi Dahaka","9%","Geas Fete T4"
"Elivira","Abyssdiver","15%","Unity Wanted T1"
"Excenmille S","Toppling Tuber","13%","Abyssea Marks T1"
"Fablinix","Suzaku","13%","Reforge Sky [II]"
"Ferreous Coffin","Bukhis","15%","Reforge Unity [I]"
"Flaviria UC","Mephitas","11%","Unity Wanted T3"
"Gadalar","Garbage Gel","13%","Unity Wanted T2"
"Gessho","Simurgh","13%","Hunting League Rank III"
"Gilgamesh","Genbu-Escha","11%","Geas Ru'Aun T3"
"Halver","Keeper of Heiligtum","15%","Unity Wanted T1"
"Ingrid","Strix","13%","Unity Wanted T2"
"Ingrid II","Shaula","13%","Abyssea Marks T3"
"Invincible Shield UC","Vidmapire","11%","Unity Wanted T3"
"Iroha","Iratham","13%","Reforge Abyssea [II]"
"Iroha II","Shedu","11%","Unity Wanted T3"
"Iron Eater","Blazing Eruca","13%","Abyssea Marks T2"
"Jakoh UC","Tolba","11%","Unity Wanted T3"
"Joachim","Vrtra","13%","Hunting League Rank III"
"Karaha-Baruha","Woodland Mender","15%","Unity Wanted T1"
"Kayeel-Payeel","Sedna","11%","Abyssea Marks T2"
"King of Hearts","Briareus","11%","Abyssea Marks T1"
"Klara","Quasimodo","13%","Abyssea Marks T2"
"Koru-Moru","Khun","13%","Reforge Unity [II]"
"Kukki-Chebukki","Joyous Green","15%","Unity Wanted T1"
"Kupofried","Shinryu","8%","Hunting League Rank V"
"Kuyin Hathdenna","Byakko-Escha","11%","Geas Ru'Aun T3"
"Lehko Habhoka","Tom Tit Tat","15%","Hunting League Rank I"
"Leonoyne","Aquarius","13%","The Gauntlet L1"
"Lhe Lhangavo","Kukulkan","9%","Abyssea Marks T1"
"Lhu Mhakaracca","Warblade Beak","15%","Unity Wanted T1"
"Lilisette","Padfoot","11%","Reforge Unity [III]"
"Lilisette II","Bakunawa","11%","Unity Wanted T3"
"Lion","Seiryu","11%","Reforge Sky [III]"
"Lion II","Tinnin","9%","Reforge Unity [V]"
"Luzaf","Seiryu-Escha","11%","Geas Ru'Aun T3"
"Maat","Sovereign Behemoth","13%","Unity Wanted T2"
"Maat UC","Amarok","13%","Abyssea Marks T3"
"Makki-Chebukki","Warder of Courage","9%","Geas Fete T4"
"Margret","Intuila","15%","Unity Wanted T1"
"Maximilian","Dvalinn","11%","Abyssea Marks T2"
"Mayakov","Cactrot Veloz","15%","Unity Wanted T1"
"Mihli Aliapoh","Valkurm Emperor","15%","Hunting League Rank I"
"Mildaurion","Kirin","11%","Geas Ru'Aun T3"
"Mnejing","Wepwawet","15%","Geas Fete T1"
"Monberaux","Maju","9%","Geas Fete T4"
"Moogle","Genbu","15%","Reforge Sky [I]"
"Morimar","Warder of Hope","9%","Geas Fete T4"
"Mumor","Muut","13%","Unity Wanted T2"
"Mumor II","Bennu","11%","Abyssea Marks T3"
"Naja Salaheem","Leaping Lizzy","15%","Hunting League Rank I"
"Naja UC","Ayapec","11%","Unity Wanted T3"
"Najelith","Carabosse","13%","Abyssea Marks T1"
"Naji","Arimaspi","15%","Abyssea Marks T1"
"Nashmeira","Arke","13%","Unity Wanted T2"
"Nashmeira II","Specter Worm","11%","Unity Wanted T3"
"Noillurie","Lumber Jill","13%","Unity Wanted T2"
"Ovjang","Warder of Justice","15%","Geas Fete T1"
