status,set_group,slot,jobs,ilevel,itemId,name,display,source
MISSING,ababinili,main,WHM,119,21164,ababinili,ababinili,
MISSING,abyss,main,DRK,119,21823,abyss_scythe,abyss_scythe,
MISSING,adorned,head,WAR/THF/PLD/DRK/BST/BRD/DRG/GEO/RUN,119,26714,adorned_helm,adorned_helm,
MISSING,agoge,main,WAR/GEO,119,21773,agoge_chopper,agoge_chopper,
MISSING,agony,body,WAR/RDM/THF/PLD/DRK/BST/BRD/RNG/SAM/NIN/DRG/BLU/COR/DNC/GEO/RUN,119,26942,agony_jerkin,agony_jerkin,
MISSING,agwus,body,BLM/SCH/GEO/RUN,119,23766,agwus_robe,agwus_robe,
MISSING,agwus,feet,BLM/SCH/GEO/RUN,119,23787,agwus_pigaches,agwus_pigaches,
MISSING,agwus,hands,BLM/SCH/GEO/RUN,119,23773,agwus_gages,agwus_gages,
MISSING,agwus,head,BLM/SCH/GEO/RUN,119,23759,agwus_cap,agwus_cap,
MISSING,agwus,legs,BLM/SCH/GEO/RUN,119,23780,agwus_slops,agwus_slops,
MISSING,agwus,main,WAR/PLD/DRK/GEO/RUN,119,21675,agwus_claymore,agwus_claymore,
MISSING,agwus,main,BST,119,21724,agwus_axe,agwus_axe,
MISSING,agwus,main,DRK,119,21832,agwus_scythe,agwus_scythe,
MISSING,air,main,THF/DNC,119,21593,air_knife,air_knife,
MISSING,aizkora,main,WAR/GEO,119,20851,aizkora,aizkora,
MISSING,ajax,sub,PLD,119,27638,ajax,ajax,
MISSING,ajja,main,RDM/THF/BST/BRD/RNG/NIN/COR/PUP/DNC,119,21562,ajja_knife,ajja_knife,
MISSING,ajja,main,NIN,119,21919,ajja_katana,ajja_katana,
MISSING,alhazen,head,ALL,119,26786,alhazen_hat,alhazen_hat,
MISSING,almace,main,RDM/PLD/BLU/GEO,119,20653,almace,almace,
MISSING,almace,main,RDM/PLD/BLU/GEO,119,20654,almace,almace,
MISSING,amanomurakumo,main,SAM,119,21015,amanomurakumo,amanomurakumo,
MISSING,amanomurakumo,main,SAM,119,21016,amanomurakumo,amanomurakumo,
MISSING,ames,main,WHM/BLM/RDM/SMN/BLU/SCH/GEO,119,22021,ames,ames,
MISSING,ammurapi,sub,WHM/BLM/RDM/BRD/SMN/SCH,119,26419,ammurapi_shield,ammurapi_shield,
MISSING,anathema,main,WAR/THF/GEO,119,20606,anathema_harpe,anathema_harpe,
MISSING,anguine,hands,WAR/RDM/PLD/DRK/BST/RNG/SAM/DRG/BLU/GEO/RUN,119,25998,anguine_dastanas,anguine_dastanas,
MISSING,ankusa,main,BST,119,21716,ankusa_axe,ankusa_axe,
MISSING,antitail,ranged,WAR/THF/RNG/GEO,119,22266,antitail,antitail,
MISSING,ar,feet,WAR/PLD/DRG/GEO,119,25965,ar._gambieras_+1,ar._gambieras_+1,
MISSING,ar,hands,WAR/PLD/DRG/GEO,119,25985,ar._manopolas_+1,ar._manopolas_+1,
MISSING,aram,main,DRG/GEO,119,21878,aram,aram,
MISSING,arasy,main,DRK,119,21813,arasy_scythe_+1,arasy_scythe_+1,
MISSING,arasy,main,DRG/GEO,119,21866,arasy_lance_+1,arasy_lance_+1,
MISSING,arasy,main,WHM/BLM/SMN/SCH/GEO,119,22016,arasy_rod_+1,arasy_rod_+1,
MISSING,arasy,ranged,RNG,119,22123,arasy_bow_+1,arasy_bow_+1,
MISSING,archdukes,main,WAR/RDM/PLD/BLU/GEO,119,20655,archdukes_sword,archdukes_sword,
MISSING,archdukes,sub,WAR/WHM/RDM/THF/PLD/BST/SAM,119,26417,archdukes_shield,archdukes_shield,
MISSING,archmages,main,BLM,119,22092,archmages_staff,archmages_staff,
MISSING,argute,main,SCH,119,22097,argute_staff,argute_staff,
MISSING,arke,body,WAR/PLD/DRG/GEO,119,26533,arke_corazza,arke_corazza,
MISSING,arke,body,WAR/PLD/DRG/GEO,119,26534,arke_corazza_+1,arke_corazza_+1,
MISSING,arke,feet,WAR/PLD/DRG/GEO,119,25964,arke_gambieras,arke_gambieras,
MISSING,arke,hands,WAR/PLD/DRG/GEO,119,25984,arke_manopolas,arke_manopolas,
MISSING,arke,head,WAR/PLD/DRG/GEO,119,25557,arke_zuchetto,arke_zuchetto,
MISSING,arke,head,WAR/PLD/DRG/GEO,119,25558,arke_zuchetto_+1,arke_zuchetto_+1,
MISSING,arke,legs,WAR/PLD/DRG/GEO,119,25897,arke_cosciales,arke_cosciales,
MISSING,arke,ranged,RNG,119,22148,arke_crossbow,arke_crossbow,
MISSING,armageddon,ranged,RNG/COR,119,21264,armageddon,armageddon,
MISSING,armageddon,ranged,RNG/COR,119,21265,armageddon,armageddon,
MISSING,artemiss,ranged,RNG,119,22169,artemiss_bow_+2,artemiss_bow_+2,
MISSING,artsieq,body,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,27871,artsieq_jubbah,artsieq_jubbah,
MISSING,artsieq,feet,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,28296,artsieq_boots,artsieq_boots,
MISSING,artsieq,hands,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,28017,artsieq_cuffs,artsieq_cuffs,
MISSING,artsieq,head,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,27725,artsieq_hat,artsieq_hat,
MISSING,artsieq,legs,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,28159,artsieq_hose,artsieq_hose,
MISSING,asclepius,main,WHM,119,22035,asclepius,asclepius,
MISSING,ashi,main,SAM,119,21961,ashi._no_tachi_+1,ashi._no_tachi_+1,
MISSING,assassins,main,THF,119,21573,assassins_knife,assassins_knife,
MISSING,assiduity,legs,WHM/BLM/BRD/SMN/PUP/SCH/GEO,119,28134,assiduity_pants,assiduity_pants,
MISSING,asteria,hands,SMN,119,27106,asteria_mitts,asteria_mitts,
MISSING,atalanta,ranged,RNG,119,21477,atalanta,atalanta,
MISSING,augury,legs,WAR/RDM/PLD/DRK/BST/RNG/SAM/DRG/BLU/GEO/RUN,119,28136,augury_cuisses,augury_cuisses,
MISSING,avatara,legs,SMN,119,27221,avatara_slops,avatara_slops,
MISSING,aya,feet,WHM/RDM/BRD/BLU/GEO/RUN,119,25935,aya._gambieras,aya._gambieras,
MISSING,aya,feet,WHM/RDM/BRD/BLU/GEO/RUN,119,25936,aya._gambieras_+1,aya._gambieras_+1,
MISSING,aya,hands,WHM/RDM/BRD/BLU/GEO/RUN,119,25810,aya._manopolas,aya._manopolas,
MISSING,aya,hands,WHM/RDM/BRD/BLU/GEO/RUN,119,25811,aya._manopolas_+1,aya._manopolas_+1,
MISSING,aya,head,WHM/RDM/BRD/BLU/GEO/RUN,119,25588,aya._zucchetto,aya._zucchetto,
MISSING,aya,head,WHM/RDM/BRD/BLU/GEO/RUN,119,25589,aya._zucchetto_+1,aya._zucchetto_+1,
MISSING,aya,legs,WHM/RDM/BRD/BLU/GEO/RUN,119,25870,aya._cosciales_+1,aya._cosciales_+1,
MISSING,aya,legs,WHM/RDM/BRD/BLU/GEO/RUN,119,25884,aya._cosciales_+2,aya._cosciales_+2,
MISSING,ayanmo,body,WHM/RDM/BRD/BLU/GEO/RUN,119,25762,ayanmo_corazza,ayanmo_corazza,
MISSING,ayanmo,body,WHM/RDM/BRD/BLU/GEO/RUN,119,25763,ayanmo_corazza_+1,ayanmo_corazza_+1,
MISSING,ayanmo,body,WHM/RDM/BRD/BLU/GEO/RUN,119,25795,ayanmo_corazza_+2,ayanmo_corazza_+2,
MISSING,ayanmo,legs,WHM/RDM/BRD/BLU/GEO/RUN,119,25869,ayanmo_cosciales,ayanmo_cosciales,
MISSING,aymur,main,BST,119,20792,aymur,aymur,
MISSING,aymur,main,BST,119,20793,aymur,aymur,
MISSING,azimuth,head,ALL,119,24304,azimuth_turban,azimuth_turban,
MISSING,baaya,feet,SMN,119,25973,baaya._sabots_+1,baaya._sabots_+1,
MISSING,baayami,body,SMN,119,26541,baayami_robe,baayami_robe,
MISSING,baayami,body,SMN,119,26542,baayami_robe_+1,baayami_robe_+1,
MISSING,baayami,feet,SMN,119,25972,baayami_sabots,baayami_sabots,
MISSING,baayami,hands,SMN,119,25992,baayami_cuffs,baayami_cuffs,
MISSING,baayami,hands,SMN,119,25993,baayami_cuffs_+1,baayami_cuffs_+1,
MISSING,baayami,head,SMN,119,25565,baayami_hat,baayami_hat,
MISSING,baayami,head,SMN,119,25566,baayami_hat_+1,baayami_hat_+1,
MISSING,baayami,legs,SMN,119,25905,baayami_slops,baayami_slops,
MISSING,baayami,legs,SMN,119,25906,baayami_slops_+1,baayami_slops_+1,
MISSING,bagua,main,GEO,119,22036,bagua_wand,bagua_wand,
MISSING,bards,main,BRD,119,21576,bards_knife,bards_knife,
MISSING,barfawc,main,BRD,119,21578,barfawc,barfawc,
MISSING,beheader,main,WAR/DRK/GEO/RUN,119,20853,beheader,beheader,
MISSING,bewegt,hands,BRD,119,27146,bewegt_cuffs,bewegt_cuffs,
MISSING,bhima,main,GEO,119,22038,bhima,bhima,
MISSING,bihu,main,BRD,119,21577,bihu_knife,bihu_knife,
MISSING,blacksh,head,ALL,119,26692,blacksh._hairpin,blacksh._hairpin,
MISSING,blistering,head,ALL,119,25601,blistering_sallet,blistering_sallet,
MISSING,blurred,main,MNK/PUP,119,20525,blurred_claws,blurred_claws,
MISSING,blurred,main,WAR/RDM/THF/BST/BRD/RNG/NIN/COR/DNC/GEO,119,20601,blurred_knife,blurred_knife,
MISSING,blurred,main,WAR/RDM/PLD/DRK/BLU/COR/GEO/RUN,119,20711,blurred_sword,blurred_sword,
MISSING,blurred,main,WAR/DRK/BST/RNG/GEO/RUN,119,20802,blurred_axe,blurred_axe,
MISSING,blurred,main,WAR/DRK/GEO/RUN,119,20849,blurred_cleaver,blurred_cleaver,
MISSING,blurred,main,WAR/DRK/BST/GEO,119,20896,blurred_scythe,blurred_scythe,
MISSING,blurred,main,WAR/SAM/DRG/GEO,119,20940,blurred_lance,blurred_lance,
MISSING,blurred,main,WAR/MNK/WHM/BLM/PLD/BRD/DRG/SMN/SCH/GEO,119,21157,blurred_staff,blurred_staff,
MISSING,blurred,main,WAR/MNK/WHM/BLM/PLD/BRD/DRG/SMN/SCH/GEO,119,21158,blurred_staff_+1,blurred_staff_+1,
MISSING,blurred,main,WAR/PLD/DRK/GEO/RUN,119,21700,blurred_claymore,blurred_claymore,
MISSING,blurred,ranged,RNG,119,21217,blurred_bow,blurred_bow,
MISSING,blurred,ranged,RNG,119,21218,blurred_bow_+1,blurred_bow_+1,
MISSING,blurred,ranged,RNG,119,21480,blurred_crossbow,blurred_crossbow,
MISSING,blurred,ranged,RNG,119,21481,blurred_cross._+1,blurred_cross._+1,
